Date,Close,SMA_50,SMA_200,Upper Band,Middle Band,Lower Band,RSI,MACD,MACD Signal,ATR,OBV,Crypto
2020-07-18,0.19934099912643433,0.19269235968589782,0.20924535900354385,0.211777549033322,0.19014469981193544,0.16851185059054888,68.50790474532656,0.0026387707201434296,0.0018055629903109482,0.008007856351988656,29832198587,XRP-USD
2020-07-19,0.19913500547409058,0.19255065977573393,0.20927769899368287,0.2123934622624243,0.19120350033044814,0.17001353839847197,69.423576804257,0.0027439575492191892,0.0019932419020925966,0.008098141423293523,29003805735,XRP-USD
2020-07-20,0.19506500661373138,0.19239383995532988,0.209312809035182,0.21213265582093835,0.19216325059533118,0.172193845369724,56.56948887805543,0.002470426437278739,0.0020886788091298253,0.007626284446035113,28155025204,XRP-USD
2020-07-21,0.19898800551891327,0.19216861993074416,0.20934014409780502,0.2121032810103562,0.19326385110616684,0.1744244212019775,64.31581980158815,0.002540914208823908,0.002179125889068642,0.007638499140739441,29083980155,XRP-USD
2020-07-22,0.203342005610466,0.19218017995357514,0.20938507914543153,0.21232006059239455,0.19456875175237656,0.17681744291235857,48.01750257448726,0.0029145110262116525,0.0023262029164972443,0.006590571786676135,30019510142,XRP-USD
2020-07-23,0.20757800340652466,0.19225847989320755,0.2094452841579914,0.21257707695081485,0.1961308516561985,0.17968462636158217,56.39417114425749,0.003511915638651636,0.002563345460928123,0.0062937864235469276,31463169366,XRP-USD
2020-07-24,0.2040490061044693,0.19223982006311416,0.20935797922313212,0.2118284849616473,0.197434101998806,0.18303971903596472,57.543415769595576,0.003658430400500151,0.0027823624488425287,0.00599264247076852,30168813171,XRP-USD
2020-07-25,0.21410199999809265,0.19244002014398576,0.20935890421271325,0.2120731108070722,0.19928835183382035,0.1865035928605685,64.9084053356543,0.004533477884624937,0.0031325855359990106,0.006554856896400452,31394582837,XRP-USD
2020-07-26,0.21498200297355652,0.19267682015895843,0.20938868425786494,0.2141647839129808,0.20060910210013388,0.18705342028728697,66.60156122885543,0.005237592499749755,0.0035535869287491597,0.007008356707436698,32842721644,XRP-USD
2020-07-27,0.22367200255393982,0.1930812802910805,0.2094825492799282,0.21762371252910384,0.20255335196852683,0.18748299140794983,74.98259319943669,0.006422780925422256,0.00412742572808378,0.007473927523408618,34605459629,XRP-USD
2020-07-28,0.23027700185775757,0.19361140042543412,0.2095724043250084,0.22335369542961797,0.20383260175585746,0.18431150808209695,77.7986025547868,0.00780504780253094,0.004862950142973212,0.008315285401684898,36360155457,XRP-USD
