Stock,Date,Close,SMA_50,SMA_200,Upper Band,Middle Band,Lower Band,RSI,MACD,MACD Signal,ATR,OBV
RTX,2021-12-31,79.65621948242188,79.77258193969726,78.159147605896,81.21893274322773,78.10261840820313,74.98630407317853,49.52833453216431,0.0299438583718938,-0.3888217574381928,1.4763139591902277,-133656109
RTX,2024-12-31,115.13728332519533,118.9085563659668,110.55313926696778,118.72679790062443,116.35312881469729,113.97945972877012,42.24774725188318,-0.9843755037839088,-1.0079506481556428,1.7397660799206156,-92020209
SKM,2020-12-31,40.329490661621094,38.72520584106445,34.49695225715637,41.517701042255354,40.5345962524414,39.55149146262745,55.806470165993055,0.5063839600620668,0.6550630220277874,0.6001412527901786,-333118
SKM,2021-12-31,26.670000076293945,45.7867919921875,48.187060565948485,57.60254308174595,41.266499519348145,24.930455956950343,16.797611054886474,-4.902880624960552,-2.7405460648526994,2.2299999509538924,-2247903
AVY,2021-12-31,206.0937957763672,204.5109442138672,200.17622024536132,208.43508388487365,200.87125244140623,193.3074209979389,55.56812949353367,0.1419006222744769,-0.9831666776636712,4.448860551038101,6738600
AVY,2024-12-31,187.1300048828125,200.02602661132812,212.56442504882813,208.0965430541075,194.3140007019043,180.53145834970107,15.53635059211227,-4.206930176415057,-3.869315782531087,3.277142116001674,1486400
MLM,2021-12-31,432.1416931152344,409.9727764892578,365.2572445678711,442.6055498372757,424.4812271118164,406.3569043863571,51.052584823508106,6.885565998317702,7.261402151842659,7.653044790805224,4664300
MLM,2024-12-31,516.5,573.9018090820313,563.5561985778809,595.411184461785,549.5300048828125,503.64882530384006,14.20942189135745,-15.768230221566114,-13.0854535270891,10.219290597098214,14974800
VTRS,2021-12-31,11.892416000366213,11.644750556945802,12.157728276252747,12.262120529331142,11.406348752975465,10.550576976619787,68.94974884081329,0.1335749628820952,0.0384106774384788,0.2957090597529594,-258981900
VTRS,2024-12-31,12.449999809265137,12.452741584777833,11.455205941200257,13.069622931407183,12.597500038146972,12.12537714488676,48.52940282745476,-0.0525871791975571,-0.0162990646830635,0.3314285278320312,-392765700
NI,2021-12-31,24.647985458374023,22.90156368255615,22.233082513809205,25.048091181379004,23.74633741378784,22.44458364619668,81.34316994868304,0.5269162579680398,0.4608229678958176,0.3443344104418267,59346100
NI,2024-12-31,36.48405075073242,35.991766204833986,31.238631067276,37.22538578789548,36.33021564483643,35.435045501777374,52.365911857567575,0.0497384315030871,0.0535587223452536,0.5586322671666569,280953400
BK,2021-12-31,52.490360260009766,52.395181045532226,47.41690961837769,53.64640510398477,51.69911327362061,49.75182144325644,58.96422025034053,0.2662835580627671,0.1383633867023034,0.9715405108564984,72342900
MS,2021-12-31,87.49618530273438,88.74087524414062,83.21469608306884,91.09294362836002,88.24180068969727,85.39065775103452,49.19308711200699,-0.1065838132486618,-0.1547696668308872,1.8635844780341144,69427100
MS,2024-12-31,124.88899230957033,125.68607467651368,103.91182807922364,131.67325430261965,126.08602828979492,120.4988022769702,47.5265823162353,-0.409839076544074,-0.1850147722180992,2.7460138502293523,157416100
LW,2022-05-31,64.82239532470703,60.85345932006836,58.56332019805908,64.79513816935611,61.29876976013183,57.80240135090755,69.90747659450284,0.5610537814569767,0.1313820380942292,1.7758802155295332,-5635800
LW,2023-05-31,107.86132049560548,105.27565811157228,90.36507167816164,111.98682802614825,108.49666786193848,105.00650769772872,48.295334475288875,0.269639118642786,0.876081372132635,1.7428395323972612,48077100
LW,2024-05-31,86.82306671142578,85.88475311279296,93.9811294555664,88.09877674608234,84.79336395263672,81.48795115919111,61.515771181428526,0.3096900558021644,0.0407369966513467,1.7611033338327036,23284400
HPQ,2022-10-31,25.540002822875977,25.209620513916015,30.74649804115295,26.214309468983572,24.27132558822632,22.328341707469065,73.05193544066435,0.1661221176875109,-0.1745083672131027,0.8560008203560329,624511400
HPQ,2023-10-31,25.238773345947266,26.382210083007813,27.89954888343811,26.00256470605595,25.248837375640868,24.495110045225783,42.89775473414241,-0.3309706458984394,-0.4084891276173503,0.4628455160081977,588949600
TRGP,2021-12-31,48.67082214355469,49.89783103942871,41.69653471946717,50.02462151713924,47.90358009338379,45.78253866962834,50.15388866515178,-0.3555392675679698,-0.5973863549347062,1.4081628065395315,72226100
TRGP,2024-12-31,177.84762573242188,183.87382415771484,142.84279277801514,198.4212368564866,182.8532585144043,167.28528017232202,38.025231826183855,-3.055198757617802,-2.270476643768532,4.157608818264292,258615700
NTRS,2021-12-31,108.20540618896484,108.89880737304688,103.30336978912354,109.64311988446558,106.98464851379394,104.32617714312232,54.14478520799522,0.0509414356492072,-0.2662027183671009,2.3010459983496756,-4106000
AWK,2021-12-31,176.8558807373047,164.360224609375,155.9822632598877,178.56353087806465,169.61907501220702,160.6746191463494,78.67458912880099,3.466119801769878,2.856455151385157,2.9203529529790058,32172000
AWK,2024-12-31,123.72185516357422,132.26039932250976,131.8002902984619,133.86080969431478,127.50437126159667,121.14793282887857,25.247856090926916,-2.707819605945417,-2.545300082845965,2.15376962534787,34012600
SHW,2021-12-31,342.5236511230469,322.4105969238281,285.5691588592529,344.01951065181595,334.3948806762695,324.77025070072307,56.58197074711873,5.00123615157753,4.756776516367938,6.003250406501637,44294200
UDR,2021-12-31,52.91533279418945,50.22096481323242,45.43533832550049,53.40300031699215,51.81627521514893,50.229550113305706,61.10346909217588,0.7314960317491668,0.6848596551559241,0.9608251996161344,5723700
