Quarter End Date,Open,High,Low,Close,Volume,Dividends,ETF
2020-03-31,23.476826991145284,24.308064148525705,9.952378637958068,13.794038772583008,18055769,0.0,MLPX
2020-06-30,13.501985197416635,23.178508758544922,12.917872201078096,19.070146560668945,20627166,0.541,MLPX
2020-09-30,19.16212548929996,21.370276675896857,16.804915143119516,17.290422439575195,7708500,0.565,MLPX
2020-12-31,17.25127022671614,23.666447904825223,16.750095635533928,21.628034591674805,10112500,0.565,MLPX
2021-03-31,21.94904551907531,26.76106860974265,21.3712268957999,25.860849380493164,9067700,0.565,MLPX
2021-06-30,25.95905646635572,31.90827066827013,25.525315339726035,30.196516036987305,9453100,0.521,MLPX
2021-09-30,30.412551961588605,31.039909487868005,26.93330317546891,30.264123916625977,7856500,0.501,MLPX
2021-12-31,30.45807471956491,33.839500113212104,28.36754681502333,30.19875717163086,9784200,0.524,MLPX
2022-03-31,30.250053548864315,37.662317028256886,30.250053548864315,36.99549865722656,12799000,0.501,MLPX
2022-06-30,37.1600376013593,40.28026396470802,31.85420811952725,33.41490936279297,12906100,0.53,MLPX
2022-09-30,33.61657360738344,38.91246030122058,31.398265249034125,32.86252975463867,10544700,0.0,MLPX
2022-12-31,33.660407888128354,38.99637377919549,33.23077704100619,36.20710754394531,8798300,0.55,MLPX
2023-03-31,36.242643234747575,38.09030522271825,33.3063976048228,35.96189880371094,10884300,0.55,MLPX
2023-06-30,36.68203848745474,38.1735998175926,34.95370331851534,37.981727600097656,5150100,0.58,MLPX
2023-09-30,37.981724478213614,40.29816519773607,37.33301395007802,39.269622802734375,4691700,0.6,MLPX
2023-12-31,39.297425861495086,42.80014416419544,37.41641298604223,41.917083740234375,4532200,0.6,MLPX
2024-03-31,41.83253160259304,46.69729673298367,41.02463296917276,46.659202575683594,5786700,0.6,MLPX
2024-06-30,46.74492346012266,49.36866395093528,44.46862895443143,49.27214431762695,14606200,0.65,MLPX
2024-09-30,49.45553214695832,54.17129325191797,47.795429018183775,53.2036018371582,15816700,0.65,MLPX
2024-12-31,52.97878457938304,63.95511044500594,52.79306320906709,59.89735412597656,23996600,0.7050000000000001,MLPX
2025-03-31,60.28308573258897,66.7317486941305,59.99625800765981,63.209999084472656,31536700,0.69,MLPX
