Quarter End Date,Open,High,Low,Close,Volume,Crypto
2020-03-31,0.22893500328063965,0.24592000246047974,0.11509300023317337,0.17456300556659698,73781888504,XRP-USD
2020-06-30,0.17431500554084778,0.2357030063867569,0.1691340059041977,0.17587000131607056,161119307244,XRP-USD
2020-09-30,0.1757500022649765,0.32440298795700073,0.17423400282859802,0.241784006357193,150071122604,XRP-USD
2020-12-31,0.2419690042734146,0.7680190205574036,0.17483100295066833,0.2198459953069687,699410085849,XRP-USD
2021-03-31,0.2198449969291687,0.7448210120201111,0.21581600606441498,0.573868989944458,640703976224,XRP-USD
2021-06-30,0.5739589929580688,1.9649970531463623,0.5127099752426147,0.7063739895820618,887873016425,XRP-USD
2021-09-30,0.7047849893569946,1.4137669801712036,0.5179100036621094,0.9526360034942627,374407332681,XRP-USD
2021-12-31,0.953764021396637,1.3476619720458984,0.6145049929618835,0.8311629891395569,318639212886,XRP-USD
2022-03-31,0.8312810063362122,0.9111369848251343,0.5586680173873901,0.8145639896392822,203944846210,XRP-USD
2022-06-30,0.8147090077400208,0.8501539826393127,0.2905789911746979,0.3314479887485504,153077389423,XRP-USD
2022-09-30,0.33164501190185547,0.552282989025116,0.3043299913406372,0.47977399826049805,139628590395,XRP-USD
2022-12-31,0.4798220098018646,0.5414159893989563,0.32395899295806885,0.3399290144443512,118766953434,XRP-USD
2023-03-31,0.3399229943752289,0.5803999900817871,0.32162800431251526,0.5384920239448547,108193950346,XRP-USD
2023-06-30,0.5384719967842102,0.5613769888877869,0.4129619896411896,0.4740369915962219,98976950212,XRP-USD
2023-09-30,0.47402000427246094,0.8875110149383545,0.46062999963760376,0.515404999256134,123947477472,XRP-USD
2023-12-31,0.5153679847717285,0.740568995475769,0.4756369888782501,0.6149410009384155,121897289305,XRP-USD
2024-03-31,0.6156560182571411,0.7421259880065918,0.4903469979763031,0.6292250156402588,151586581575,XRP-USD
2024-06-30,0.6292250156402588,0.6412580013275146,0.4336340129375458,0.4754830002784729,116474831835,XRP-USD
2024-09-30,0.47547200322151184,0.6622059941291809,0.3911390006542206,0.6114919781684875,133116101957,XRP-USD
