Date,Close,SMA_50,SMA_200,Upper Band,Middle Band,Lower Band,RSI,MACD,MACD Signal,ATR,OBV
2020-10-15,117.70416259765625,114.00747283935547,86.17618541717529,121.1734831917536,111.89745750427247,102.62143181679133,63.10218213842804,1.6519283782500196,0.7758683165808555,3.445585029816086,1156487000
2020-10-16,116.0562515258789,114.11127227783203,86.39288623809814,121.1896127569087,112.49129295349121,103.79297315007372,56.51053756036895,1.6045900206500079,0.941612657394686,3.4246903018450476,1041093200
2020-10-19,113.09196472167969,114.20619827270508,86.5983005142212,121.13355080519315,112.77894744873046,104.42434409226777,52.8335905034207,1.312748314267722,1.0158397887692934,3.6350328198265296,920453900
2020-10-20,114.58384704589844,114.29946594238281,86.80830532073975,121.25407701679295,113.05685043334961,104.85962384990627,52.56329911385488,1.1881478657375908,1.0503014041629528,3.6148347736486244,1044877600
2020-10-21,113.95979309082031,114.44563339233399,87.0168966293335,120.66163720100012,113.53221130371094,106.40278540642176,50.12186876888703,1.0272042031993465,1.0456819639702315,3.639212355052113,954931600
2020-10-22,112.86767578125,114.49906845092774,87.21421680450439,119.97031795868911,113.89933586120605,107.828353763723,54.52437277974845,0.8022822411515307,0.9970020194064914,3.5612032924247825,852943600
2020-10-23,112.17534637451172,114.49965347290039,87.40027946472168,119.80470597858188,114.03389854431153,108.26309111004117,47.33574303702621,0.5616899564893458,0.9099396068230623,3.4664781340101234,770371000
2020-10-26,112.18511962890625,114.5024331665039,87.58554363250732,119.80302421514793,114.03828659057618,108.27354896600443,53.926043621767846,0.36757033544942885,0.8014657525483356,3.4260814552587004,882221700
2020-10-27,113.69651794433594,114.5412907409668,87.770339012146,119.7781196428887,114.1606616973877,108.5432037518867,53.206686824728855,0.3318608645213885,0.7075447749429462,3.4504568571794203,974498500
2020-10-28,108.43099212646484,114.45621353149414,87.9339878463745,120.09493556757187,113.9359016418457,107.77686771611954,43.497821145549,-0.11994047697059784,0.5420477245602374,3.707464059288182,830560700
2020-10-29,112.44837951660156,114.44865631103515,88.11934577941895,120.05917183799829,113.86423110961914,107.66929038123999,47.34809568660788,-0.15207369656771164,0.40322344033464763,3.961684747315558,976689900
2020-10-30,106.14923858642578,114.26504501342774,88.26848701477051,120.58361393400213,113.66141090393066,106.73920787385919,24.22026965320252,-0.6780118351655915,0.1869763852345998,3.91919937446876,786417300
2020-11-02,106.0615005493164,113.96081420898437,88.41296478271484,120.99671726080045,113.28453559875489,105.57235393670932,27.107285927292978,-1.0893440454585317,-0.06828770090402651,3.7534327797665545,663550400
2020-11-03,107.68989562988281,113.66014236450195,88.56819915771484,121.16257349555637,113.1519214630127,105.14126943046902,31.14688997920304,-1.2692982317629884,-0.30848980707581886,3.7081601966757,771174800
2020-11-04,112.08759307861328,113.4675602722168,88.74405414581298,121.15955772711871,113.14558143615723,105.13160514519575,41.14933225804047,-1.0450095700599036,-0.45579375967263586,3.854425444373686,909410300
2020-11-05,116.0660171508789,113.32144226074219,88.93794925689697,121.44459941606975,113.34352836608886,105.24245731610797,50.0143358513659,-0.5400087316780713,-0.47263675407372296,3.9888511804933193,1035797400
2020-11-06,115.93413543701172,113.20218307495117,89.13229862213134,121.61636183713577,113.43736991882324,105.2583780005107,54.55071397281707,-0.14871933710988117,-0.4078532706809546,3.871512054301605,921339500
2020-11-09,113.6191635131836,113.04057373046875,89.32640354156494,120.35109206768959,113.05321426391602,105.75533646014244,48.495072682075346,-0.025128889852027214,-0.33130839451516914,4.052618301558552,766824200
