Ticker,Name,Category,Min Investment
XRP-USD,XRP USD,Crypto,1.0
XRP-CAD,XRP CAD,Crypto,1.0
XLM-USD,Stellar USD,Crypto,1.0
BTC-USD,Bitcoin USD,Crypto,1.0
ETH-USD,Ethereum USD,Crypto,1.0
