Ticker,Name,Category,Min Investment
MAGA,Point Bridge America First ETF,ETF,1.0
XLC,The Communication Services Select Sector SPDR ETF Fund,ETF,1.0
SPHQ,Invesco S&P 500 Quality ETF,ETF,1.0
LRGF,iShares U.S. Equity Factor ETF,ETF,1.0
NACP,Impact Shares NAACP Minority Empowerment ETF,ETF,1.0
DLN,WisdomTree U.S. LargeCap Dividend Fund,ETF,1.0
FTLS,First Trust Long/Short Equity ETF,ETF,1.0
SPXE,ProShares S&P 500 ex-Energy ETF,ETF,1.0
QGRO,American Century U.S. Quality Growth ETF,ETF,1.0
KBWP,Invesco KBW Property & Casualty Insurance ETF,ETF,1.0
SPXN,ProShares S&P 500 ex-Financials ETF,ETF,1.0
VYM,Vanguard High Dividend Yield Index Fund ETF Shares,ETF,1.0
DVLU,First Trust Dorsey Wright Momentum & Value ETF,ETF,1.0
DTD,WisdomTree U.S. Total Dividend Fund,ETF,1.0
VTV,Vanguard Value Index Fund ETF Shares,ETF,1.0
VO,Vanguard Mid-Cap Index Fund ETF Shares,ETF,1.0
IMCG,iShares Morningstar Mid-Cap Growth ETF,ETF,1.0
DIA,SPDR Dow Jones Industrial Average ETF Trust,ETF,1.0
RWL,Invesco S&P 500 Revenue ETF,ETF,1.0
JMOM,JPMorgan U.S. Momentum Factor ETF,ETF,1.0
FCOM,Fidelity MSCI Communication Services Index ETF,ETF,1.0
VOOV,Vanguard S&P 500 Value Index Fund ETF Shares,ETF,1.0
EQL,ALPS Equal Sector Weight ETF,ETF,1.0
QMOM,Alpha Architect U.S. Quantitative Momentum ETF,ETF,1.0
PY,Principal Value ETF,ETF,1.0
PSI,Invesco Semiconductors ETF,ETF,1.0
MFUS,PIMCO RAFI Dynamic Multi-Factor U.S. Equity ETF,ETF,1.0
FNDX,Schwab Fundamental U.S. Large Company ETF,ETF,1.0
VLU,SPDR S&P 1500 Value Tilt ETF,ETF,1.0
IFRA,iShares U.S. Infrastructure ETF,ETF,1.0
RFDA,RiverFront Dynamic US Dividend Advantage ETF,ETF,1.0
IGM,iShares Expanded Tech Sector ETF,ETF,1.0
IVE,iShares S&P 500 Value ETF,ETF,1.0
ADME,Aptus Drawdown Managed Equity ETF,ETF,1.0
FTXN,First Trust Nasdaq Oil & Gas ETF,ETF,1.0
VXF,Vanguard Extended Market Index Fund ETF Shares,ETF,1.0
XLK,The Technology Select Sector SPDR Fund,ETF,1.0
PKW,Invesco BuyBack Achievers ETF,ETF,1.0
BAPR,Innovator U.S. Equity Buffer ETF - April,ETF,1.0
SCHD,Schwab U.S. Dividend Equity ETF,ETF,1.0
FIDU,Fidelity MSCI Industrials Index ETF,ETF,1.0
FAD,First Trust Multi Cap Growth AlphaDEX Fund,ETF,1.0
VDC,Vanguard Consumer Staples Index Fund ETF Shares,ETF,1.0
SPYV,SPDR Portfolio S&P 500 Value ETF,ETF,1.0
ILCV,iShares Morningstar Value ETF,ETF,1.0
IOO,iShares Global 100 ETF,ETF,1.0
FNY,First Trust Mid Cap Growth AlphaDEX Fund,ETF,1.0
SPGP,Invesco S&P 500 GARP ETF,ETF,1.0
PFM,Invesco Dividend Achievers ETF,ETF,1.0
VUSE,Vident U.S. Equity Strategy ETF,ETF,1.0
ULVM,VictoryShares US Value Momentum ETF,ETF,1.0
FDL,First Trust Morningstar Dividend Leaders Index Fund,ETF,1.0
FVAL,Fidelity Value Factor ETF,ETF,1.0
QDEF,FlexShares Quality Dividend Defensive Index Fund,ETF,1.0
FNDB,Schwab Fundamental U.S. Broad Market ETF,ETF,1.0
BBP,Virtus LifeSci Biotech Products ETF,ETF,1.0
NZAC,SPDR MSCI ACWI Climate Paris Aligned ETF,ETF,1.0
QLC,FlexShares US Quality Large Cap Index Fund,ETF,1.0
RSPN,Invesco S&P 500 Equal Weight Industrials ETF,ETF,1.0
QDF,FlexShares Quality Dividend Index Fund,ETF,1.0
EUSA,iShares MSCI USA Equal Weighted ETF,ETF,1.0
YLDE,Franklin ClearBridge Enhanced Income ETF,ETF,1.0
DIVO,Amplify CWP Enhanced Dividend Income ETF,ETF,1.0
DGRO,iShares Core Dividend Growth ETF,ETF,1.0
IEO,iShares U.S. Oil & Gas Exploration & Production ETF,ETF,1.0
SMLF,iShares U.S. Small-Cap Equity Factor ETF,ETF,1.0
IWP,iShares Russell Mid-Cap Growth ETF,ETF,1.0
URTH,iShares MSCI World ETF,ETF,1.0
IUS,Invesco RAFI Strategic US ETF,ETF,1.0
PPA,Invesco Aerospace & Defense ETF,ETF,1.0
RTH,VanEck Retail ETF,ETF,1.0
FDRR,Fidelity Dividend ETF for Rising Rates,ETF,1.0
VFMF,Vanguard U.S. Multifactor ETF Shares,ETF,1.0
VIS,Vanguard Industrials Index Fund ETF Shares,ETF,1.0
PAVE,Global X U.S. Infrastructure Development ETF,ETF,1.0
TOK,iShares MSCI Kokusai ETF,ETF,1.0
WOMN,Impact Shares YWCA Women's Empowerment ETF,ETF,1.0
SIZE,iShares MSCI USA Size Factor ETF,ETF,1.0
IXN,iShares Global Tech ETF,ETF,1.0
IUSV,iShares Core S&P U.S. Value ETF,ETF,1.0
