Ticker,Name,GICS Sector,Category
CFG,Citizens Financial Group,Financials,Blue-Chip
CLX,Clorox,Consumer Staples,Blue-Chip
CME,CME Group,Financials,Blue-Chip
CMS,CMS Energy,Utilities,Blue-Chip
KO,Coca-Cola Company (The),Consumer Staples,Blue-Chip
CTSH,Cognizant,Information Technology,Blue-Chip
CL,Colgate-Palmolive,Consumer Staples,Blue-Chip
CMCSA,Comcast,Communication Services,Blue-Chip
CAG,Conagra Brands,Consumer Staples,Blue-Chip
COP,ConocoPhillips,Energy,Blue-Chip
ED,Consolidated Edison,Utilities,Blue-Chip
STZ,Constellation Brands,Consumer Staples,Blue-Chip
CEG,Constellation Energy,Utilities,Blue-Chip
COO,Cooper Companies (The),Health Care,Blue-Chip
CPRT,Copart,Industrials,Blue-Chip
GLW,Corning Inc.,Information Technology,Blue-Chip
CPAY,Corpay,Financials,Blue-Chip
CTVA,Corteva,Materials,Blue-Chip
CSGP,CoStar Group,Real Estate,Blue-Chip
COST,Costco,Consumer Staples,Blue-Chip
CTRA,Coterra,Energy,Blue-Chip
CRWD,CrowdStrike,Information Technology,Blue-Chip
CCI,Crown Castle,Real Estate,Blue-Chip
CSX,CSX Corporation,Industrials,Blue-Chip
CMI,Cummins,Industrials,Blue-Chip
CVS,CVS Health,Health Care,Blue-Chip
DHR,Danaher Corporation,Health Care,Blue-Chip
DRI,Darden Restaurants,Consumer Discretionary,Blue-Chip
DVA,DaVita,Health Care,Blue-Chip
DAY,Dayforce,Industrials,Blue-Chip
DECK,Deckers Brands,Consumer Discretionary,Blue-Chip
DE,Deere & Company,Industrials,Blue-Chip
DELL,Dell Technologies,Information Technology,Blue-Chip
DAL,Delta Air Lines,Industrials,Blue-Chip
DVN,Devon Energy,Energy,Blue-Chip
DXCM,Dexcom,Health Care,Blue-Chip
FANG,Diamondback Energy,Energy,Blue-Chip
DLR,Digital Realty,Real Estate,Blue-Chip
DFS,Discover Financial,Financials,Blue-Chip
DG,Dollar General,Consumer Staples,Blue-Chip
DLTR,Dollar Tree,Consumer Staples,Blue-Chip
D,Dominion Energy,Utilities,Blue-Chip
DPZ,Domino's,Consumer Discretionary,Blue-Chip
DOV,Dover Corporation,Industrials,Blue-Chip
DOW,Dow Inc.,Materials,Blue-Chip
DHI,D. R. Horton,Consumer Discretionary,Blue-Chip
DTE,DTE Energy,Utilities,Blue-Chip
DUK,Duke Energy,Utilities,Blue-Chip
DD,DuPont,Materials,Blue-Chip
EMN,Eastman Chemical Company,Materials,Blue-Chip
ETN,Eaton Corporation,Industrials,Blue-Chip
EBAY,eBay,Consumer Discretionary,Blue-Chip
ECL,Ecolab,Materials,Blue-Chip
EIX,Edison International,Utilities,Blue-Chip
EW,Edwards Lifesciences,Health Care,Blue-Chip
EA,Electronic Arts,Communication Services,Blue-Chip
ELV,Elevance Health,Health Care,Blue-Chip
EMR,Emerson Electric,Industrials,Blue-Chip
ENPH,Enphase Energy,Information Technology,Blue-Chip
ETR,Entergy,Utilities,Blue-Chip
EOG,EOG Resources,Energy,Blue-Chip
EPAM,EPAM Systems,Information Technology,Blue-Chip
EQT,EQT Corporation,Energy,Blue-Chip
EFX,Equifax,Industrials,Blue-Chip
EQIX,Equinix,Real Estate,Blue-Chip
EQR,Equity Residential,Real Estate,Blue-Chip
ERIE,Erie Indemnity,Financials,Blue-Chip
ESS,Essex Property Trust,Real Estate,Blue-Chip
EL,Estée Lauder Companies (The),Consumer Staples,Blue-Chip
EG,Everest Group,Financials,Blue-Chip
EVRG,Evergy,Utilities,Blue-Chip
